"N","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","blood","Dendritic Cell","Myeloid BDCA1+ DCs","P-DCextrblood","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","N 041202.EXP","N 041202.CEL","N 041202.CHP"
"O","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","blood","Dendritic Cell","Myeloid BDCA1+ DCs","P-DCextrblood","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","O 041202.EXP","O 041202.CEL","O 041202.CHP"
"P","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","blood","Dendritic Cell","Myeloid BDCA3+ DCs","P-DCextrblood","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","P 041202.EXP","P 041202.CEL","P 041202.CHP"
"Q","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","blood","Dendritic Cell","Myeloid BDCA3+ DCs","P-DCextrblood","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","Q 041202.EXP","Q 041202.CEL","Q 041202.CHP"
"R","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","blood","Dendritic Cell","Myeloid BDCA3+ DCs","P-DCextrblood","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","R 041202.EXP","R 041202.CEL","R 041202.CHP"
"S","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","blood","Dendritic Cell","Myeloid CD16+ DCs","P-DCextrblood","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","S 041207.EXP","S 041207.CEL","S 041207.CHP"
"T","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","blood","Dendritic Cell","Myeloid CD16+ DCs","P-DCextrblood","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","T 041207.EXP","T 041207.CEL","T 041207.CHP"
"U","Lund University Hospital, Sweden","fresh_sample ","Homo sapiens","blood","Dendritic Cell","Myeloid CD16+ DCs","P-DCextrblood","P-RNAextr","P-labeling","P-affyarray","A-AFFY-44","U 041207.EXP","U 041207.CEL","U 041207.CHP"
,,,,,,,,,,,,,,
"Notes:",,,,,,,,,,,,,,
"This sheet summarizes the relationships between samples, experimental procedures and data.",,,,,,,,,,,,,,
"It has been designed exclusively for biological characterization experiments",,,,,,,,,,,,,,
"If you need a template for another experiment layout (e.g. dose-response, time-response, ...) contact helma@in-silico.de.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Each row represents an individual sample, its characteristics, the experimental procedure with protocols (from left to right) and the measured data.",,,,,,,,,,,,,,
"To add a new sample, copy an existing sample row to a new row.",,,,,,,,,,,,,,
"To add a new protocol copy an existing protocol column.",,,,,,,,,,,,,,
"To add new characteristics (like CellLine, Strain, Treatment, ...) or to add additional items for existing characteristics contact helma@in-silico.de.",,,,,,,,,,,,,,
